Date,Data Source name,Campaign,Campaign Status,Cost (INR),Clicks,Impressions,CPC (INR),CTR,CPM (INR),Conversions,Conv. Value (INR),Geo Location Segment,Country Funnel,Country,CPC_Calculated,CTR_Calculated,CPM_Calculated
2026-06-04,XYZ Luxury,Growify_XYZ LuxuryP_Search_INT-5/21/26,ENABLED,397.070473,12,37,33.089206,0.324324,10731.63441,0.0,0.0,Rest of the World,Canada,Canada,33.08920608333333,0.32432432432432434,10731.634405405404
2026-06-04,XYZ Luxury,Growify_XYZ LuxuryP_Search_INT-5/21/26,ENABLED,69.545578,8,23,8.693197,0.347826,3023.720783,0.0,0.0,USA,United States,United States,8.69319725,0.34782608695652173,3023.720782608696
2026-06-04,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,447.021381,51,161,8.765125,0.31677,2776.530317,0.0,0.0,India,India,India,8.76512511764706,0.3167701863354037,2776.5303167701863
2026-06-05,XYZ Luxury,Growify | Shopping Ads | All Product | EOSS,PAUSED,5.33,10,468,0.533,0.021368,11.388889,0.0,0.0,India,India,India,0.533,0.021367521367521368,11.38888888888889
2026-06-05,XYZ Luxury,Growify_P.max_HP_EOSS_Ind,ENABLED,796.720666,92,7977,8.660007,0.011533,99.87723,0.0,0.0,India,India,India,8.660007239130435,0.011533157828757678,99.87723028707535
2026-06-05,XYZ Luxury,Growify_XYZ LuxuryP_Search_INT-5/21/26,ENABLED,73.893897,11,21,6.717627,0.52381,3518.757,0.5,6325.0,Rest of the World,Canada,Canada,6.717626999999999,0.5238095238095238,3518.757
2026-06-05,XYZ Luxury,Growify_XYZ LuxuryP_Search_INT-5/21/26,ENABLED,58.770801,8,20,7.34635,0.4,2938.54005,0.0,0.0,USA,United States,United States,7.346350125,0.4,2938.54005
2026-06-05,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,865.297302,61,147,14.185202,0.414966,5886.376204,1.0,13270.0,India,India,India,14.185201672131146,0.41496598639455784,5886.376204081632
2026-06-06,XYZ Luxury,Growify | Shopping Ads | All Product | EOSS,PAUSED,2.97,3,277,0.99,0.01083,10.722022,0.0,0.0,India,India,India,0.9900000000000001,0.010830324909747292,10.722021660649819
2026-06-06,XYZ Luxury,Growify_P.max_HP_EOSS_Ind,ENABLED,1350.718168,51,3750,26.48467,0.0136,360.191511,0.0,0.0,India,India,India,26.484669960784316,0.0136,360.19151146666667
