Platform,Campaign,Spend (INR),Revenue (INR),Purchases,ROAS,Additional Budget (INR),New Budget (INR),Projected Additional Revenue (INR),Projected Total Revenue (INR)
Facebook,Growify | MOF & BOF | Sale | India +intl,1573535.759976,3587712.77,279.0,2.2800325618622868,132047.89,1705583.6499760002,301073.48892520944,3888786.2589252093
Facebook,Growify | TOF | Sale | US,296074.989996,653010.98,22.0,2.205559409151115,66023.95,362098.93999600003,145619.74415182273,798630.7241518227
Facebook,Growify | TOF | Sales | Australia | EOSS,199729.249995,429793.8,13.0,2.1518821104608334,66023.95,265753.199995,142075.75686696052,571869.5568669605
Facebook,Growify | TOF | Sales | India | Open,369424.419992,781694.18,75.0,2.1159786351344287,99035.92,468460.33999199996,209557.89083088248,991252.0708308825
Google,Growify_P.max_HP_EOSS_Ind,90984.82661,582689.536508,45.339999999999996,6.404249567959911,132047.89,223032.71661,845667.642482518,1428357.178990518
Google,Growify_XYZ LuxuryP_Search_India-12/12/25,71651.029372,865423.7825,69.46,12.078316111927245,165059.87,236710.899372,1993645.2872536166,2859069.0697536166
