Date,Platform,Campaign,Spend (INR),Revenue (INR),Clicks,Impressions,Purchases,ROAS,CTR,CPC (INR),CPM (INR),Conversion Rate,AOV (INR)
2026-03-05,Facebook,Growify | TOF | Sale | India,73.32,0.0,59,1570,0.0,0.0,3.7579617834394905,1.2427118644067796,46.70063694267516,0.0,
2026-03-05,Facebook,Growify | TOF | Sale | India,81.22,0.0,67,1171,0.0,0.0,5.721605465414176,1.2122388059701492,69.35952177625961,0.0,
2026-03-05,Facebook,Growify | TOF | Sale | US,169.64,0.0,13,205,0.0,0.0,6.341463414634147,13.049230769230768,827.5121951219512,0.0,
2026-03-05,Facebook,Growify | TOF | Sale | US,1.75,0.0,0,5,0.0,0.0,0.0,,350.0,,
2026-03-05,Facebook,Growify | TOF | Sale | US,1365.17,0.0,136,1637,0.0,0.0,8.307880268784363,10.038014705882354,833.9462431276726,0.0,
2026-03-05,Facebook,Growify | TOF | Sale | US,71.48,0.0,0,57,0.0,0.0,0.0,,1254.0350877192982,,
2026-03-05,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0,,,,,,
2026-03-05,Facebook,Growify | TOF | Sales | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,1229.77,0.0,405,7597,0.0,0.0,5.3310517309464265,3.036469135802469,161.87574042385154,0.0,
2026-03-06,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,66.959999,0.0,2,107,0.0,0.0,1.8691588785046727,33.4799995,625.7943831775701,0.0,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,836.63,0.0,63,1297,0.0,0.0,4.857363145720894,13.27984126984127,645.0501156515035,0.0,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,132.52,0.0,17,166,0.0,0.0,10.240963855421686,7.795294117647059,798.3132530120482,0.0,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,39.08,0.0,0,8,0.0,0.0,0.0,,4885.0,,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,179.51,0.0,11,100,0.0,0.0,11.0,16.319090909090907,1795.1,0.0,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,1075.39,0.0,68,559,0.0,0.0,12.164579606440071,15.814558823529413,1923.7745974955278,0.0,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,65.45,0.0,5,48,0.0,0.0,10.416666666666668,13.09,1363.5416666666667,0.0,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,48.95,0.0,4,45,0.0,0.0,8.88888888888889,12.2375,1087.7777777777778,0.0,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,92.06,0.0,4,101,0.0,0.0,3.9603960396039604,23.015,911.4851485148515,0.0,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,191.72,0.0,3,103,0.0,0.0,2.912621359223301,63.906666666666666,1861.3592233009708,0.0,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,406.66,0.0,43,424,0.0,0.0,10.141509433962264,9.457209302325582,959.1037735849058,0.0,
2026-03-06,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,431.64,0.0,26,367,0.0,0.0,7.084468664850137,16.60153846153846,1176.1307901907355,0.0,
2026-03-06,Facebook,Growfiy | Tof | Traffic | Canada + US,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | 3rd Feb | Sale | ABO | Targeting,180.54,33586.2,25,1632,1.0,186.0319042871386,1.531862745098039,7.2216,110.625,4.0,33586.2
2026-03-06,Facebook,Growify | Engagement | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | Engagement | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | Engagement | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | MOF & BOF | Sale | India +intl,1682.31,0.0,3730,86054,0.0,0.0,4.334487647291236,0.45102144772117964,19.549468938108628,0.0,
